Player,Rank,Court,Surface,Best of,Age,weight_kg,height_cm,experience,T,Y
Koubek S.,73.0,Indoor,Hard,3,30.0,68.0,175.0,13.0,1,1
Koubek S.,36.0,Outdoor,Grass,5,23.0,68.0,175.0,6.0,0,1
Koubek S.,50.0,Outdoor,Hard,3,26.0,68.0,175.0,9.0,1,0
Koubek S.,105.0,Outdoor,Hard,3,28.0,68.0,175.0,11.0,1,0
Koubek S.,68.0,Indoor,Hard,3,30.0,68.0,175.0,13.0,0,0
Bjorkman J.,76.0,Outdoor,Hard,5,28.0,83.0,183.0,9.0,0,1
Bjorkman J.,60.0,Outdoor,Grass,3,28.0,83.0,183.0,9.0,1,1
Bjorkman J.,51.0,Outdoor,Hard,3,29.0,83.0,183.0,10.0,1,1
Bjorkman J.,41.0,Outdoor,Grass,5,29.0,83.0,183.0,10.0,1,1
Bjorkman J.,54.0,Outdoor,Hard,3,29.0,83.0,183.0,10.0,1,1
Bjorkman J.,61.0,Outdoor,Hard,3,30.0,83.0,183.0,11.0,1,1
Bjorkman J.,86.0,Indoor,Hard,3,31.0,83.0,183.0,12.0,1,0
Bjorkman J.,86.0,Indoor,Hard,3,31.0,83.0,183.0,12.0,1,1
Bjorkman J.,47.0,Outdoor,Clay,3,31.0,83.0,183.0,12.0,1,1
Bjorkman J.,28.0,Outdoor,Hard,3,32.0,83.0,183.0,13.0,1,1
Bjorkman J.,38.0,Outdoor,Hard,3,32.0,83.0,183.0,13.0,0,1
Bjorkman J.,65.0,Outdoor,Hard,3,34.0,83.0,183.0,15.0,1,1
Bjorkman J.,39.0,Outdoor,Clay,5,35.0,83.0,183.0,16.0,0,1
Bjorkman J.,54.0,Indoor,Carpet,3,28.0,83.0,183.0,9.0,0,1
Bjorkman J.,46.0,Indoor,Hard,3,28.0,83.0,183.0,9.0,1,0
Bjorkman J.,63.0,Outdoor,Grass,3,31.0,83.0,183.0,12.0,1,0
Bjorkman J.,47.0,Indoor,Hard,3,35.0,83.0,183.0,16.0,0,0
Bjorkman J.,41.0,Outdoor,Clay,3,35.0,83.0,183.0,16.0,0,1
Bjorkman J.,62.0,Indoor,Carpet,3,35.0,83.0,183.0,16.0,0,0
Black W.,151.0,Outdoor,Hard,5,27.0,70.0,170.0,6.0,1,1
Black W.,114.0,Outdoor,Hard,3,27.0,70.0,170.0,6.0,1,1
Corretja A.,30.0,Outdoor,Hard,5,26.0,73.0,180.0,9.0,1,1
Corretja A.,26.0,Outdoor,Hard,3,26.0,73.0,180.0,9.0,1,1
Corretja A.,10.0,Outdoor,Clay,3,26.0,73.0,180.0,9.0,0,1
Corretja A.,13.0,Outdoor,Clay,5,27.0,73.0,180.0,10.0,1,1
Corretja A.,7.0,Indoor,Hard,3,26.0,73.0,180.0,9.0,0,0
Corretja A.,17.0,Outdoor,Clay,3,29.0,73.0,180.0,12.0,0,1
Corretja A.,91.0,Outdoor,Clay,3,30.0,73.0,180.0,13.0,0,1
Corretja A.,106.0,Indoor,Carpet,3,30.0,73.0,180.0,13.0,0,1
Dosedel S.,64.0,Outdoor,Hard,5,30.0,79.0,183.0,11.0,1,0
Dosedel S.,72.0,Outdoor,Hard,5,31.0,79.0,183.0,12.0,1,1
Pretzsch A.,115.0,Outdoor,Hard,5,24.0,79.0,185.0,4.0,1,1
Pretzsch A.,134.0,Outdoor,Hard,3,25.0,79.0,185.0,5.0,0,1
Vinciguerra A.,99.0,Outdoor,Hard,5,19.0,73.0,180.0,2.0,1,1
Vinciguerra A.,99.0,Outdoor,Hard,5,19.0,73.0,180.0,2.0,1,1
Vinciguerra A.,84.0,Indoor,Hard,3,19.0,73.0,180.0,2.0,1,1
Vinciguerra A.,39.0,Outdoor,Grass,5,19.0,73.0,180.0,2.0,1,1
Vinciguerra A.,52.0,Outdoor,Hard,5,20.0,73.0,180.0,3.0,1,1
Vinciguerra A.,40.0,Outdoor,Hard,3,19.0,73.0,180.0,2.0,0,0
Vinciguerra A.,52.0,Indoor,Hard,3,19.0,73.0,180.0,2.0,0,0
Vinciguerra A.,46.0,Outdoor,Hard,3,20.0,73.0,180.0,3.0,0,0
Vinciguerra A.,52.0,Outdoor,Clay,3,20.0,73.0,180.0,3.0,0,0
Vinciguerra A.,45.0,Indoor,Hard,3,20.0,73.0,180.0,3.0,1,0
Clavet F.,39.0,Outdoor,Hard,5,32.0,71.0,183.0,12.0,1,1
Clavet F.,57.0,Outdoor,Clay,3,32.0,71.0,183.0,12.0,1,1
Clavet F.,61.0,Outdoor,Hard,5,34.0,71.0,183.0,14.0,1,1
Clavet F.,46.0,Outdoor,Hard,5,32.0,71.0,183.0,12.0,0,0
Clavet F.,46.0,Indoor,Hard,3,32.0,71.0,183.0,12.0,0,1
Clavet F.,69.0,Outdoor,Hard,5,33.0,71.0,183.0,13.0,0,0
Clavet F.,60.0,Outdoor,Hard,3,33.0,71.0,183.0,13.0,0,0
Fromberg R.,80.0,Outdoor,Hard,5,30.0,88.0,196.0,12.0,1,1
Fromberg R.,71.0,Outdoor,Hard,3,30.0,88.0,196.0,12.0,0,1
Fromberg R.,63.0,Outdoor,Hard,3,30.0,88.0,196.0,12.0,1,0
Fromberg R.,71.0,Outdoor,Grass,3,30.0,88.0,196.0,12.0,0,1
Fromberg R.,84.0,Outdoor,Hard,5,30.0,88.0,196.0,12.0,1,0
Fromberg R.,71.0,Indoor,Hard,3,30.0,88.0,196.0,12.0,0,1
Fromberg R.,71.0,Outdoor,Hard,3,30.0,88.0,196.0,12.0,1,0
Fromberg R.,84.0,Outdoor,Hard,5,30.0,88.0,196.0,12.0,0,1
Fromberg R.,175.0,Outdoor,Clay,3,31.0,88.0,196.0,13.0,0,0
El Aynaoui Y.,29.0,Outdoor,Hard,5,29.0,86.0,193.0,10.0,1,0
El Aynaoui Y.,22.0,Outdoor,Hard,3,29.0,86.0,193.0,10.0,1,1
El Aynaoui Y.,21.0,Indoor,Hard,3,29.0,86.0,193.0,10.0,1,1
El Aynaoui Y.,20.0,Indoor,Carpet,3,29.0,86.0,193.0,10.0,1,1
El Aynaoui Y.,58.0,Outdoor,Hard,3,30.0,86.0,193.0,11.0,1,0
El Aynaoui Y.,72.0,Outdoor,Clay,5,30.0,86.0,193.0,11.0,0,1
El Aynaoui Y.,47.0,Outdoor,Clay,3,30.0,86.0,193.0,11.0,1,1
El Aynaoui Y.,33.0,Indoor,Hard,3,30.0,86.0,193.0,11.0,1,1
El Aynaoui Y.,38.0,Outdoor,Hard,3,31.0,86.0,193.0,12.0,1,1
El Aynaoui Y.,21.0,Outdoor,Hard,3,31.0,86.0,193.0,12.0,1,0
El Aynaoui Y.,18.0,Outdoor,Clay,3,31.0,86.0,193.0,12.0,1,1
El Aynaoui Y.,21.0,Outdoor,Hard,5,32.0,86.0,193.0,13.0,1,0
El Aynaoui Y.,22.0,Indoor,Hard,3,29.0,86.0,193.0,10.0,1,0
El Aynaoui Y.,20.0,Indoor,Carpet,3,29.0,86.0,193.0,10.0,0,0
El Aynaoui Y.,49.0,Outdoor,Hard,5,30.0,86.0,193.0,11.0,1,0
El Aynaoui Y.,20.0,Outdoor,Hard,3,31.0,86.0,193.0,12.0,0,0
El Aynaoui Y.,18.0,Indoor,Carpet,3,31.0,86.0,193.0,12.0,1,0
El Aynaoui Y.,22.0,Outdoor,Hard,3,32.0,86.0,193.0,13.0,0,0
El Aynaoui Y.,22.0,Outdoor,Hard,3,32.0,86.0,193.0,13.0,1,0
El Aynaoui Y.,21.0,Outdoor,Hard,5,32.0,86.0,193.0,13.0,0,0
Grosjean S.,20.0,Indoor,Hard,3,22.0,73.0,175.0,4.0,1,1
Grosjean S.,32.0,Outdoor,Grass,3,22.0,73.0,175.0,4.0,1,1
Grosjean S.,32.0,Outdoor,Grass,3,22.0,73.0,175.0,4.0,1,1
Grosjean S.,32.0,Outdoor,Grass,3,22.0,73.0,175.0,4.0,1,1
Grosjean S.,25.0,Outdoor,Hard,3,22.0,73.0,175.0,4.0,1,1
Grosjean S.,8.0,Indoor,Carpet,5,23.0,73.0,175.0,5.0,1,1
Grosjean S.,14.0,Outdoor,Grass,5,25.0,73.0,175.0,7.0,1,0
Grosjean S.,34.0,Outdoor,Hard,3,27.0,73.0,175.0,9.0,1,1
Grosjean S.,18.0,Outdoor,Clay,3,28.0,73.0,175.0,10.0,1,1
Grosjean S.,81.0,Indoor,Carpet,3,29.0,73.0,175.0,11.0,0,1
Grosjean S.,81.0,Indoor,Carpet,3,29.0,73.0,175.0,11.0,1,1
Grosjean S.,46.0,Outdoor,Hard,5,30.0,73.0,175.0,12.0,1,1
Grosjean S.,15.0,Outdoor,Hard,3,23.0,73.0,175.0,5.0,0,1
Grosjean S.,11.0,Outdoor,Hard,3,25.0,73.0,175.0,7.0,0,1
Grosjean S.,14.0,Outdoor,Clay,3,25.0,73.0,175.0,7.0,1,0
Grosjean S.,10.0,Outdoor,Clay,3,26.0,73.0,175.0,8.0,0,0
Grosjean S.,35.0,Indoor,Hard,3,28.0,73.0,175.0,10.0,1,0
Grosjean S.,77.0,Outdoor,Hard,3,29.0,73.0,175.0,11.0,1,0
Grosjean S.,98.0,Indoor,Carpet,3,30.0,73.0,175.0,12.0,1,0
Ivanisevic G.,63.0,Indoor,Hard,3,29.0,82.0,193.0,12.0,0,1
Ivanisevic G.,62.0,Outdoor,Hard,3,29.0,82.0,193.0,12.0,0,0
Siemerink J.,91.0,Indoor,Hard,3,30.0,73.0,183.0,11.0,1,0
Siemerink J.,91.0,Outdoor,Clay,3,31.0,73.0,183.0,12.0,1,1
Siemerink J.,87.0,Outdoor,Clay,3,31.0,73.0,183.0,12.0,0,1
Siemerink J.,91.0,Outdoor,Clay,3,31.0,73.0,183.0,12.0,0,0
Siemerink J.,98.0,Outdoor,Hard,3,31.0,73.0,183.0,12.0,0,0
Gimelstob J.,95.0,Indoor,Hard,3,23.0,88.0,196.0,4.0,1,1
Gimelstob J.,99.0,Outdoor,Grass,5,23.0,88.0,196.0,4.0,1,1
Gimelstob J.,190.0,Outdoor,Hard,3,24.0,88.0,196.0,5.0,1,0
Gimelstob J.,95.0,Indoor,Hard,3,23.0,88.0,196.0,4.0,0,0
Gimelstob J.,87.0,Outdoor,Grass,3,23.0,88.0,196.0,4.0,0,1
Gimelstob J.,190.0,Outdoor,Hard,3,24.0,88.0,196.0,5.0,1,0
Gimelstob J.,115.0,Outdoor,Hard,5,29.0,88.0,196.0,10.0,0,0
Gimelstob J.,93.0,Outdoor,Grass,3,29.0,88.0,196.0,10.0,0,1
Sanguinetti D.,113.0,Indoor,Hard,3,28.0,79.0,188.0,7.0,1,1
Sanguinetti D.,55.0,Outdoor,Clay,3,29.0,79.0,188.0,8.0,1,0
Sanguinetti D.,60.0,Outdoor,Hard,3,30.0,79.0,188.0,9.0,1,1
Sanguinetti D.,69.0,Indoor,Hard,3,31.0,79.0,188.0,10.0,1,1
Sanguinetti D.,89.0,Outdoor,Grass,3,31.0,79.0,188.0,10.0,1,1
Sanguinetti D.,58.0,Outdoor,Clay,3,33.0,79.0,188.0,12.0,0,1
Sanguinetti D.,59.0,Outdoor,Hard,3,33.0,79.0,188.0,12.0,1,1
Sanguinetti D.,51.0,Outdoor,Hard,3,34.0,79.0,188.0,13.0,0,1
Sanguinetti D.,106.0,Outdoor,Hard,3,35.0,79.0,188.0,14.0,1,0
Sanguinetti D.,54.0,Outdoor,Hard,3,29.0,79.0,188.0,8.0,0,0
Sanguinetti D.,54.0,Outdoor,Hard,3,30.0,79.0,188.0,9.0,0,0
Sanguinetti D.,44.0,Indoor,Carpet,3,30.0,79.0,188.0,9.0,0,0
Sanguinetti D.,78.0,Outdoor,Clay,3,33.0,79.0,188.0,12.0,0,0
Sanguinetti D.,64.0,Outdoor,Grass,3,34.0,79.0,188.0,13.0,0,0
Sanguinetti D.,79.0,Indoor,Hard,3,34.0,79.0,188.0,13.0,0,1
Stanoytchev O.,105.0,Indoor,Hard,3,29.0,82.0,185.0,7.0,1,0
Stanoytchev O.,104.0,Outdoor,Clay,5,29.0,82.0,185.0,7.0,1,0
Larsson M.,78.0,Indoor,Hard,3,30.0,93.0,193.0,11.0,1,1
Larsson M.,48.0,Indoor,Hard,3,30.0,93.0,193.0,11.0,1,0
Larsson M.,146.0,Outdoor,Grass,3,32.0,93.0,193.0,13.0,1,1
Larsson M.,174.0,Outdoor,Hard,3,32.0,93.0,193.0,13.0,1,1
Larsson M.,174.0,Outdoor,Hard,3,32.0,93.0,193.0,13.0,0,0
Mamiit C.,135.0,Indoor,Hard,3,24.0,70.0,173.0,4.0,1,1
Mamiit C.,110.0,Outdoor,Hard,3,25.0,70.0,173.0,5.0,1,1
Mamiit C.,118.0,Outdoor,Hard,3,26.0,70.0,173.0,6.0,0,0
Mamiit C.,111.0,Outdoor,Hard,3,27.0,70.0,173.0,7.0,0,1
Mamiit C.,107.0,Outdoor,Hard,5,27.0,70.0,173.0,7.0,1,0
Pioline C.,15.0,Indoor,Hard,3,31.0,79.0,188.0,11.0,1,0
Pioline C.,15.0,Indoor,Hard,3,31.0,79.0,188.0,11.0,0,1
Pioline C.,72.0,Outdoor,Clay,3,32.0,79.0,188.0,12.0,1,0
Pioline C.,15.0,Indoor,Hard,3,31.0,79.0,188.0,11.0,1,0
Pioline C.,68.0,Outdoor,Clay,3,32.0,79.0,188.0,12.0,0,0
Enqvist T.,12.0,Indoor,Hard,3,26.0,88.0,191.0,9.0,1,0
Enqvist T.,24.0,Indoor,Hard,3,28.0,88.0,191.0,11.0,0,1
Enqvist T.,22.0,Outdoor,Hard,3,28.0,88.0,191.0,11.0,1,0
Enqvist T.,9.0,Outdoor,Clay,3,26.0,88.0,191.0,9.0,0,1
Enqvist T.,30.0,Indoor,Hard,3,27.0,88.0,191.0,10.0,1,0
Enqvist T.,43.0,Indoor,Hard,3,29.0,88.0,191.0,12.0,0,0
Enqvist T.,87.0,Outdoor,Hard,3,29.0,88.0,191.0,12.0,1,0
Enqvist T.,64.0,Indoor,Hard,3,30.0,88.0,191.0,13.0,0,0
Enqvist T.,57.0,Outdoor,Grass,3,30.0,88.0,191.0,13.0,0,0
Enqvist T.,74.0,Indoor,Hard,3,30.0,88.0,191.0,13.0,0,0
Ljubicic I.,72.0,Indoor,Hard,3,21.0,92.0,193.0,2.0,0,1
Ljubicic I.,37.0,Outdoor,Hard,3,23.0,92.0,193.0,4.0,1,1
Ljubicic I.,59.0,Indoor,Carpet,3,24.0,92.0,193.0,5.0,0,1
Ljubicic I.,27.0,Outdoor,Clay,5,25.0,92.0,193.0,6.0,0,1
Ljubicic I.,14.0,Outdoor,Hard,3,26.0,92.0,193.0,7.0,0,1
Ljubicic I.,16.0,Indoor,Hard,3,26.0,92.0,193.0,7.0,0,1
Ljubicic I.,23.0,Outdoor,Hard,3,29.0,92.0,193.0,10.0,1,1
Ljubicic I.,45.0,Outdoor,Hard,3,30.0,92.0,193.0,11.0,1,0
Ljubicic I.,24.0,Indoor,Hard,3,31.0,92.0,193.0,12.0,1,1
Ljubicic I.,40.0,Outdoor,Clay,3,32.0,92.0,193.0,13.0,1,1
Ljubicic I.,37.0,Outdoor,Clay,5,32.0,92.0,193.0,13.0,1,1
Ljubicic I.,31.0,Outdoor,Hard,5,32.0,92.0,193.0,13.0,1,0
Ljubicic I.,72.0,Outdoor,Hard,5,21.0,92.0,193.0,2.0,0,1
Ljubicic I.,87.0,Outdoor,Hard,5,21.0,92.0,193.0,2.0,0,0
Ljubicic I.,92.0,Outdoor,Hard,3,21.0,92.0,193.0,2.0,0,0
Ljubicic I.,89.0,Indoor,Hard,3,21.0,92.0,193.0,2.0,0,1
Ljubicic I.,76.0,Outdoor,Clay,3,22.0,92.0,193.0,3.0,0,1
Ljubicic I.,38.0,Outdoor,Hard,3,23.0,92.0,193.0,4.0,1,0
Ljubicic I.,29.0,Outdoor,Hard,3,23.0,92.0,193.0,4.0,0,0
Ljubicic I.,52.0,Outdoor,Hard,3,24.0,92.0,193.0,5.0,0,0
Ljubicic I.,42.0,Indoor,Hard,3,24.0,92.0,193.0,5.0,0,0
Ljubicic I.,19.0,Indoor,Hard,3,26.0,92.0,193.0,7.0,0,0
Ljubicic I.,3.0,Outdoor,Hard,3,27.0,92.0,193.0,8.0,0,0
Ljubicic I.,8.0,Indoor,Carpet,3,28.0,92.0,193.0,9.0,0,1
Ljubicic I.,24.0,Outdoor,Hard,3,29.0,92.0,193.0,10.0,0,1
Ljubicic I.,30.0,Outdoor,Clay,5,29.0,92.0,193.0,10.0,0,1
Ljubicic I.,49.0,Indoor,Hard,3,29.0,92.0,193.0,10.0,0,0
Ljubicic I.,25.0,Indoor,Hard,3,30.0,92.0,193.0,11.0,1,0
Hipfl M.,81.0,Outdoor,Hard,3,22.0,74.0,178.0,5.0,1,0
Hipfl M.,88.0,Outdoor,Clay,3,23.0,74.0,178.0,6.0,0,0
Hipfl M.,90.0,Outdoor,Clay,5,24.0,74.0,178.0,7.0,1,0
Zib T.,111.0,Outdoor,Clay,3,24.0,76.0,178.0,5.0,1,1
Zib T.,131.0,Outdoor,Hard,3,31.0,76.0,178.0,12.0,1,1
Zib T.,141.0,Outdoor,Grass,3,25.0,76.0,178.0,6.0,0,0
Zib T.,77.0,Outdoor,Hard,3,29.0,76.0,178.0,10.0,0,1
Zib T.,61.0,Outdoor,Grass,3,29.0,76.0,178.0,10.0,0,0
Zib T.,57.0,Outdoor,Clay,3,29.0,76.0,178.0,10.0,0,0
Zib T.,71.0,Outdoor,Hard,3,30.0,76.0,178.0,11.0,0,0
Calleri A.,138.0,Outdoor,Clay,3,24.0,86.0,183.0,5.0,0,1
Calleri A.,75.0,Outdoor,Clay,3,25.0,86.0,183.0,6.0,1,1
Calleri A.,45.0,Outdoor,Hard,3,26.0,86.0,183.0,7.0,1,1
Calleri A.,34.0,Outdoor,Clay,3,27.0,86.0,183.0,8.0,0,1
Calleri A.,59.0,Outdoor,Clay,3,29.0,86.0,183.0,10.0,1,1
Calleri A.,99.0,Outdoor,Clay,3,29.0,86.0,183.0,10.0,1,1
Calleri A.,32.0,Outdoor,Hard,3,30.0,86.0,183.0,11.0,1,1
Calleri A.,89.0,Outdoor,Clay,3,25.0,86.0,183.0,6.0,1,0
Calleri A.,50.0,Outdoor,Hard,3,27.0,86.0,183.0,8.0,0,0
Calleri A.,61.0,Outdoor,Clay,3,29.0,86.0,183.0,10.0,0,0
Calleri A.,34.0,Outdoor,Clay,3,31.0,86.0,183.0,12.0,0,1
Calleri A.,43.0,Outdoor,Hard,3,31.0,86.0,183.0,12.0,0,1
Calleri A.,51.0,Indoor,Carpet,3,31.0,86.0,183.0,12.0,1,0
Calleri A.,54.0,Outdoor,Clay,5,32.0,86.0,183.0,13.0,1,0
Calleri A.,50.0,Indoor,Hard,3,32.0,86.0,183.0,13.0,0,0
Santoro F.,33.0,Outdoor,Hard,3,28.0,74.0,178.0,11.0,0,1
Santoro F.,69.0,Indoor,Carpet,3,33.0,74.0,178.0,16.0,0,1
Santoro F.,53.0,Outdoor,Clay,3,34.0,74.0,178.0,17.0,1,1
Santoro F.,49.0,Outdoor,Grass,3,34.0,74.0,178.0,17.0,1,1
Santoro F.,51.0,Outdoor,Hard,5,35.0,74.0,178.0,18.0,1,1
Santoro F.,50.0,Outdoor,Clay,5,36.0,74.0,178.0,19.0,1,1
Santoro F.,52.0,Outdoor,Grass,3,36.0,74.0,178.0,19.0,1,1
Santoro F.,57.0,Outdoor,Grass,3,36.0,74.0,178.0,19.0,1,1
Santoro F.,42.0,Outdoor,Hard,3,37.0,74.0,178.0,20.0,0,1
Santoro F.,38.0,Indoor,Hard,3,28.0,74.0,178.0,11.0,0,0
Santoro F.,48.0,Outdoor,Hard,5,30.0,74.0,178.0,13.0,0,0
Santoro F.,51.0,Outdoor,Clay,5,33.0,74.0,178.0,16.0,0,1
Santoro F.,53.0,Outdoor,Clay,3,34.0,74.0,178.0,17.0,0,0
Santoro F.,63.0,Indoor,Hard,3,36.0,74.0,178.0,19.0,0,0
Woodbridge T.,168.0,Outdoor,Clay,3,29.0,75.0,178.0,12.0,1,1
Woodbridge T.,188.0,Outdoor,Hard,3,30.0,75.0,178.0,13.0,1,1
Woodbridge T.,198.0,Outdoor,Hard,3,29.0,75.0,178.0,12.0,0,1
Chang M.,37.0,Outdoor,Clay,3,28.0,73.0,175.0,12.0,1,1
Chang M.,33.0,Outdoor,Clay,5,28.0,73.0,175.0,12.0,1,1
Chang M.,29.0,Indoor,Carpet,3,28.0,73.0,175.0,12.0,0,1
Chang M.,63.0,Outdoor,Hard,3,29.0,73.0,175.0,13.0,1,1
Chang M.,132.0,Outdoor,Hard,5,30.0,73.0,175.0,14.0,1,0
Chang M.,41.0,Outdoor,Hard,3,28.0,73.0,175.0,12.0,0,0
Chang M.,90.0,Indoor,Hard,3,30.0,73.0,175.0,14.0,1,0
Tarango J.,74.0,Outdoor,Clay,3,32.0,73.0,180.0,11.0,1,1
Tarango J.,60.0,Outdoor,Grass,5,32.0,73.0,180.0,11.0,1,0
Tarango J.,76.0,Outdoor,Hard,3,32.0,73.0,180.0,11.0,1,0
Tarango J.,81.0,Outdoor,Hard,3,32.0,73.0,180.0,11.0,0,0
Vicente F.,45.0,Outdoor,Clay,3,23.0,76.0,180.0,4.0,0,1
Vicente F.,66.0,Outdoor,Hard,5,24.0,76.0,180.0,5.0,1,1
Vicente F.,71.0,Outdoor,Clay,3,25.0,76.0,180.0,6.0,1,1
Vicente F.,53.0,Outdoor,Clay,3,25.0,76.0,180.0,6.0,1,1
Vicente F.,57.0,Outdoor,Clay,3,26.0,76.0,180.0,7.0,1,0
Vicente F.,101.0,Outdoor,Clay,3,27.0,76.0,180.0,8.0,1,0
Vicente F.,155.0,Outdoor,Clay,5,28.0,76.0,180.0,9.0,1,1
